"
                        进口备案:国妆备进字J20114628
                    ",,"innisfree
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
"
                        进口备案:国妆备进字J201310546
                    ",,"innisfree
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_name,category,component0,component1,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component2,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29,component3,component30,component31,component32,component33,component34,component35,component36,component37,component38,component39,component4,component40,component41,component42,component43,component44,component45,component46,component47,component48,component49,component5,component50,component6,component7,component8,component9,e_name,o_name,others,url
进口备案:国妆备进字J20151764,,innisfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
国产备案:京G妆网备字2014002161,,大宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
进口备案:国妆备进字J20151761,,innisfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
进口备案:国妆备进字J20114628,,innisfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html
进口备案:国妆备进字J201310546,,innisfree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：innisfree super volcanic pore clay mask,,,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html
beian,c_0,c_1,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_2,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_3,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_4,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_5,c_50,c_6,c_7,c_8,c_9,c_name,category,e_name,o_name,others,url
国产备案:京G妆网备字2014002161,水,丙二醇,银耳（TREMELLA FUCIFORMIS）提取物,椰油酰胺丙基羟基磺基甜菜碱,羟乙磺酸钠,PEG-150 二硬脂酸酯,丙烯酸（酯）类/C10-30 烷醇丙烯酸酯交联聚合物,柠檬酸,羟乙基纤维素,氢氧化钾,（日用）香精,甲基氯异噻唑啉酮,椰油酰甘氨酸钠,甲基异噻唑啉酮,,,,,,,,,,甘油,,,,,,,,,,,硬脂酸,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,山嵛醇,乙二醇二硬脂酸酯,月桂酸,氯化钠,,大宝,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html#%E5%A4%A7%E5%AE%9D%0D%0A
